dataset,size,algo,threshold,trial,time_us
random,4000,ms+ins,5,1,236
random,4000,ms+ins,5,2,230
random,4000,ms+ins,5,3,255
random,4000,ms+ins,10,1,238
random,4000,ms+ins,10,2,201
random,4000,ms+ins,10,3,213
random,4000,ms+ins,20,1,264
random,4000,ms+ins,20,2,245
random,4000,ms+ins,20,3,231
random,4000,ms+ins,30,1,241
random,4000,ms+ins,30,2,254
random,4000,ms+ins,30,3,258
random,4000,ms+ins,50,1,251
random,4000,ms+ins,50,2,286
random,4000,ms+ins,50,3,287
reverse,4000,ms,0,1,141
reverse,4000,ms,0,2,148
reverse,4000,ms,0,3,148
reverse,4000,ms+ins,5,1,82
reverse,4000,ms+ins,5,2,80
reverse,4000,ms+ins,5,3,77
reverse,4000,ms+ins,10,1,83
reverse,4000,ms+ins,10,2,75
reverse,4000,ms+ins,10,3,75
reverse,4000,ms+ins,20,1,121
reverse,4000,ms+ins,20,2,103
reverse,4000,ms+ins,20,3,87
reverse,4000,ms+ins,30,1,85
reverse,4000,ms+ins,30,2,97
reverse,4000,ms+ins,30,3,99
reverse,4000,ms+ins,50,1,179
reverse,4000,ms+ins,50,2,171
reverse,4000,ms+ins,50,3,166
nearly,4000,ms,0,1,248
nearly,4000,ms,0,2,183
nearly,4000,ms,0,3,189
nearly,4000,ms+ins,5,1,110
nearly,4000,ms+ins,5,2,99
nearly,4000,ms+ins,5,3,93
nearly,4000,ms+ins,10,1,77
nearly,4000,ms+ins,10,2,74
nearly,4000,ms+ins,10,3,94
nearly,4000,ms+ins,20,1,73
nearly,4000,ms+ins,20,2,69
nearly,4000,ms+ins,20,3,86
nearly,4000,ms+ins,30,1,72
nearly,4000,ms+ins,30,2,76
nearly,4000,ms+ins,30,3,68
nearly,4000,ms+ins,50,1,85
nearly,4000,ms+ins,50,2,92
nearly,4000,ms+ins,50,3,102
random,4500,ms,0,1,416
random,4500,ms,0,2,387
random,4500,ms,0,3,358
random,4500,ms+ins,5,1,252
random,4500,ms+ins,5,2,256
random,4500,ms+ins,5,3,266
random,4500,ms+ins,10,1,294
random,4500,ms+ins,10,2,282
random,4500,ms+ins,10,3,278
random,4500,ms+ins,20,1,309
random,4500,ms+ins,20,2,271
random,4500,ms+ins,20,3,237
random,4500,ms+ins,30,1,260
random,4500,ms+ins,30,2,266
random,4500,ms+ins,30,3,247
random,4500,ms+ins,50,1,271
random,4500,ms+ins,50,2,267
random,4500,ms+ins,50,3,292
reverse,4500,ms,0,1,159
reverse,4500,ms,0,2,153
reverse,4500,ms,0,3,134
reverse,4500,ms+ins,5,1,68
reverse,4500,ms+ins,5,2,65
reverse,4500,ms+ins,5,3,64
reverse,4500,ms+ins,10,1,79
reverse,4500,ms+ins,10,2,70
reverse,4500,ms+ins,10,3,68
reverse,4500,ms+ins,20,1,112
reverse,4500,ms+ins,20,2,101
reverse,4500,ms+ins,20,3,90
reverse,4500,ms+ins,30,1,85
reverse,4500,ms+ins,30,2,94
reverse,4500,ms+ins,30,3,98
reverse,4500,ms+ins,50,1,179
reverse,4500,ms+ins,50,2,177
reverse,4500,ms+ins,50,3,172
nearly,4500,ms,0,1,201
nearly,4500,ms,0,2,185
nearly,4500,ms,0,3,172
nearly,4500,ms+ins,5,1,97
nearly,4500,ms+ins,5,2,90
nearly,4500,ms+ins,5,3,91
nearly,4500,ms+ins,10,1,82
nearly,4500,ms+ins,10,2,78
nearly,4500,ms+ins,10,3,76
nearly,4500,ms+ins,20,1,80
nearly,4500,ms+ins,20,2,76
nearly,4500,ms+ins,20,3,75
nearly,4500,ms+ins,30,1,68
nearly,4500,ms+ins,30,2,60
nearly,4500,ms+ins,30,3,66
nearly,4500,ms+ins,50,1,98
nearly,4500,ms+ins,50,2,92
nearly,4500,ms+ins,50,3,84
random,5000,ms,0,1,414
random,5000,ms,0,2,387
random,5000,ms,0,3,428
random,5000,ms+ins,5,1,334
random,5000,ms+ins,5,2,309
random,5000,ms+ins,5,3,291
random,5000,ms+ins,10,1,309
random,5000,ms+ins,10,2,270
random,5000,ms+ins,10,3,240
random,5000,ms+ins,20,1,263
random,5000,ms+ins,20,2,263
random,5000,ms+ins,20,3,270
random,5000,ms+ins,30,1,307
random,5000,ms+ins,30,2,312
random,5000,ms+ins,30,3,302
random,5000,ms+ins,50,1,372
random,5000,ms+ins,50,2,384
random,5000,ms+ins,50,3,356
reverse,5000,ms,0,1,185
reverse,5000,ms,0,2,177
reverse,5000,ms,0,3,167
reverse,5000,ms+ins,5,1,94
reverse,5000,ms+ins,5,2,90
reverse,5000,ms+ins,5,3,93
reverse,5000,ms+ins,10,1,111
reverse,5000,ms+ins,10,2,96
reverse,5000,ms+ins,10,3,91
reverse,5000,ms+ins,20,1,153
reverse,5000,ms+ins,20,2,137
reverse,5000,ms+ins,20,3,115
reverse,5000,ms+ins,30,1,112
reverse,5000,ms+ins,30,2,113
reverse,5000,ms+ins,30,3,108
reverse,5000,ms+ins,50,1,252
reverse,5000,ms+ins,50,2,222
reverse,5000,ms+ins,50,3,176
nearly,5000,ms,0,1,235
nearly,5000,ms,0,2,255
nearly,5000,ms,0,3,213
nearly,5000,ms+ins,5,1,98
nearly,5000,ms+ins,5,2,91
nearly,5000,ms+ins,5,3,89
nearly,5000,ms+ins,10,1,75
nearly,5000,ms+ins,10,2,72
nearly,5000,ms+ins,10,3,77
nearly,5000,ms+ins,20,1,93
nearly,5000,ms+ins,20,2,90
nearly,5000,ms+ins,20,3,86
nearly,5000,ms+ins,30,1,87
nearly,5000,ms+ins,30,2,88
nearly,5000,ms+ins,30,3,88
nearly,5000,ms+ins,50,1,115
nearly,5000,ms+ins,50,2,110
nearly,5000,ms+ins,50,3,118
random,5500,ms,0,1,468
random,5500,ms,0,2,410
random,5500,ms,0,3,431
random,5500,ms+ins,5,1,396
random,5500,ms+ins,5,2,381
random,5500,ms+ins,5,3,370
random,5500,ms+ins,10,1,316
random,5500,ms+ins,10,2,302
random,5500,ms+ins,10,3,372
random,5500,ms+ins,20,1,404
random,5500,ms+ins,20,2,353
random,5500,ms+ins,20,3,378
random,5500,ms+ins,30,1,455
random,5500,ms+ins,30,2,400
random,5500,ms+ins,30,3,328
random,5500,ms+ins,50,1,380
random,5500,ms+ins,50,2,432
random,5500,ms+ins,50,3,352
reverse,5500,ms,0,1,186
reverse,5500,ms,0,2,210
reverse,5500,ms,0,3,204
reverse,5500,ms+ins,5,1,112
reverse,5500,ms+ins,5,2,98
reverse,5500,ms+ins,5,3,90
reverse,5500,ms+ins,10,1,87
reverse,5500,ms+ins,10,2,85
reverse,5500,ms+ins,10,3,78
reverse,5500,ms+ins,20,1,89
reverse,5500,ms+ins,20,2,99
reverse,5500,ms+ins,20,3,83
reverse,5500,ms+ins,30,1,147
reverse,5500,ms+ins,30,2,138
reverse,5500,ms+ins,30,3,135
reverse,5500,ms+ins,50,1,217
