dataset,size,algo,trial,time_us
nearly,6500,intro,1,82
nearly,6500,intro,2,82
nearly,6500,intro,3,83
nearly,7000,qs,1,160
nearly,7000,qs,2,170
nearly,7000,qs,3,177
nearly,7000,intro,1,106
nearly,7000,intro,2,126
nearly,7000,intro,3,100
nearly,7500,qs,1,205
nearly,7500,qs,2,196
nearly,7500,qs,3,233
nearly,7500,intro,1,125
nearly,7500,intro,2,119
nearly,7500,intro,3,121
nearly,8000,qs,1,206
nearly,8000,qs,2,180
nearly,8000,qs,3,178
nearly,8000,intro,1,120
nearly,8000,intro,2,122
nearly,8000,intro,3,120
nearly,8500,qs,1,209
nearly,8500,qs,2,215
nearly,8500,qs,3,215
nearly,8500,intro,1,134
nearly,8500,intro,2,152
nearly,8500,intro,3,129
nearly,9000,qs,1,216
nearly,9000,qs,2,187
nearly,9000,qs,3,210
nearly,9000,intro,1,133
nearly,9000,intro,2,130
nearly,9000,intro,3,112
nearly,9500,qs,1,209
nearly,9500,qs,2,195
nearly,9500,qs,3,202
nearly,9500,intro,1,127
nearly,9500,intro,2,157
nearly,9500,intro,3,142
nearly,10000,qs,1,242
nearly,10000,qs,2,210
nearly,10000,qs,3,212
nearly,10000,intro,1,152
nearly,10000,intro,2,148
nearly,10000,intro,3,158
nearly,10500,qs,1,271
nearly,10500,qs,2,245
nearly,10500,qs,3,220
nearly,10500,intro,1,142
nearly,10500,intro,2,169
nearly,10500,intro,3,164
nearly,11000,qs,1,278
nearly,11000,qs,2,265
nearly,11000,qs,3,308
nearly,11000,intro,1,202
nearly,11000,intro,2,213
nearly,11000,intro,3,194
nearly,11500,qs,1,324
nearly,11500,qs,2,353
nearly,11500,qs,3,348
nearly,11500,intro,1,197
nearly,11500,intro,2,172
nearly,11500,intro,3,203
nearly,12000,qs,1,300
nearly,12000,qs,2,282
nearly,12000,qs,3,316
nearly,12000,intro,1,201
nearly,12000,intro,2,187
nearly,12000,intro,3,174
nearly,12500,qs,1,295
nearly,12500,qs,2,309
nearly,12500,qs,3,305
nearly,12500,intro,1,210
nearly,12500,intro,2,225
nearly,12500,intro,3,231
nearly,13000,qs,1,356
nearly,13000,qs,2,324
nearly,13000,qs,3,336
nearly,13000,intro,1,200
nearly,13000,intro,2,204
nearly,13000,intro,3,221
nearly,13500,qs,1,364
nearly,13500,qs,2,362
nearly,13500,qs,3,383
nearly,13500,intro,1,237
nearly,13500,intro,2,247
nearly,13500,intro,3,238
nearly,14000,qs,1,374
nearly,14000,qs,2,403
nearly,14000,qs,3,371
nearly,14000,intro,1,255
nearly,14000,intro,2,246
nearly,14000,intro,3,228
nearly,14500,qs,1,377
nearly,14500,qs,2,369
nearly,14500,qs,3,335
nearly,14500,intro,1,231
nearly,14500,intro,2,217
nearly,14500,intro,3,209
nearly,15000,qs,1,359
nearly,15000,qs,2,391
nearly,15000,qs,3,338
nearly,15000,intro,1,242
nearly,15000,intro,2,259
nearly,15000,intro,3,257
nearly,15500,qs,1,365
nearly,15500,qs,2,337
nearly,15500,qs,3,375
nearly,15500,intro,1,211
nearly,15500,intro,2,216
