rect,N,estimate,rel_error,rect_area,exact_area
small,38600,0.9527834197,0.0087518088,1.9600000000,0.9445171859
large,38600,0.9598720240,0.0162568117,9.7221359550,0.9445171859
small,39100,0.9496225064,0.0054052172,1.9600000000,0.9445171859
large,39100,0.9645055082,0.0211624760,9.7221359550,0.9445171859
small,39600,0.9461454545,0.0017239164,1.9600000000,0.9445171859
large,39600,0.9616567307,0.0181463557,9.7221359550,0.9445171859
small,40100,0.9425107232,0.0021243263,1.9600000000,0.9445171859
large,40100,0.9426350273,0.0019927204,9.7221359550,0.9445171859
small,40600,0.9397862069,0.0050088861,1.9600000000,0.9445171859
large,40600,0.9327024518,0.0125087550,9.7221359550,0.9445171859
small,41100,0.9423737226,0.0022693746,1.9600000000,0.9445171859
large,41100,0.9487953118,0.0045294315,9.7221359550,0.9445171859
small,41600,0.9465009615,0.0021003066,1.9600000000,0.9445171859
large,41600,0.9652024398,0.0219003467,9.7221359550,0.9445171859
small,42100,0.9368893112,0.0080759512,1.9600000000,0.9445171859
large,42100,0.9398834522,0.0049059284,9.7221359550,0.9445171859
small,42600,0.9454009390,0.0009356665,1.9600000000,0.9445171859
large,42600,0.9388935990,0.0059539275,9.7221359550,0.9445171859
small,43100,0.9465299304,0.0021309771,1.9600000000,0.9445171859
large,43100,0.9406335715,0.0041117456,9.7221359550,0.9445171859
small,43600,0.9292917431,0.0161198155,1.9600000000,0.9445171859
large,43600,0.9465703470,0.0021737679,9.7221359550,0.9445171859
small,44100,0.9400444444,0.0047354792,1.9600000000,0.9445171859
large,44100,0.9519315885,0.0078499393,9.7221359550,0.9445171859
small,44600,0.9395255605,0.0052848433,1.9600000000,0.9445171859
large,44600,0.9325403053,0.0126804264,9.7221359550,0.9445171859
small,45100,0.9555760532,0.0117084871,1.9600000000,0.9445171859
large,45100,0.9254352473,0.0202028495,9.7221359550,0.9445171859
small,45600,0.9428201754,0.0017966962,1.9600000000,0.9445171859
large,45600,0.9453497988,0.0008815222,9.7221359550,0.9445171859
small,46100,0.9447114967,0.0002057251,1.9600000000,0.9445171859
large,46100,0.9365727934,0.0084110619,9.7221359550,0.9445171859
small,46600,0.9433656652,0.0012191633,1.9600000000,0.9445171859
large,46600,0.9515592723,0.0074557526,9.7221359550,0.9445171859
small,47100,0.9460433121,0.0016157739,1.9600000000,0.9445171859
large,47100,0.9435219416,0.0010537069,9.7221359550,0.9445171859
small,47600,0.9426941176,0.0019301589,1.9600000000,0.9445171859
large,47600,0.9344279831,0.0106818626,9.7221359550,0.9445171859
small,48100,0.9451600832,0.0006806623,1.9600000000,0.9445171859
large,48100,0.9667562635,0.0235454451,9.7221359550,0.9445171859
small,48600,0.9406790123,0.0040636355,1.9600000000,0.9445171859
large,48600,0.9420069591,0.0026576825,9.7221359550,0.9445171859
small,49100,0.9506598778,0.0065035258,1.9600000000,0.9445171859
large,49100,0.9460766923,0.0016511149,9.7221359550,0.9445171859
small,49600,0.9494145161,0.0051850091,1.9600000000,0.9445171859
large,49600,0.9539845906,0.0100235388,9.7221359550,0.9445171859
small,50100,0.9393524950,0.0054680751,1.9600000000,0.9445171859
large,50100,0.9304918544,0.0148492073,9.7221359550,0.9445171859
small,50600,0.9397541502,0.0050428259,1.9600000000,0.9445171859
large,50600,0.9437773085,0.0007833392,9.7221359550,0.9445171859
small,51100,0.9420657534,0.0025954345,1.9600000000,0.9445171859
large,51100,0.9440555501,0.0004887532,9.7221359550,0.9445171859
small,51600,0.9457759690,0.0013327265,1.9600000000,0.9445171859
large,51600,0.9522417658,0.0081783371,9.7221359550,0.9445171859
small,52100,0.9393328215,0.0054889043,1.9600000000,0.9445171859
large,52100,0.9438495904,0.0007068114,9.7221359550,0.9445171859
small,52600,0.9443771863,0.0001482234,1.9600000000,0.9445171859
large,52600,0.9324748269,0.0127497511,9.7221359550,0.9445171859
small,53100,0.9469642185,0.0025907761,1.9600000000,0.9445171859
large,53100,0.9341306524,0.0109966591,9.7221359550,0.9445171859
small,53600,0.9461022388,0.0016781621,1.9600000000,0.9445171859
large,53600,0.9330348387,0.0121568431,9.7221359550,0.9445171859
small,54100,0.9488791128,0.0046181551,1.9600000000,0.9445171859
large,54100,0.9400460847,0.0047337426,9.7221359550,0.9445171859
small,54600,0.9443179487,0.0002109408,1.9600000000,0.9445171859
large,54600,0.9380258647,0.0068726343,9.7221359550,0.9445171859
small,55100,0.9436457350,0.0009226416,1.9600000000,0.9445171859
large,55100,0.9556277374,0.0117632074,9.7221359550,0.9445171859
small,55600,0.9446424460,0.0001326182,1.9600000000,0.9445171859
large,55600,0.9503562755,0.0061820893,9.7221359550,0.9445171859
small,56100,0.9490802139,0.0048310693,1.9600000000,0.9445171859
large,56100,0.9366870737,0.0082900685,9.7221359550,0.9445171859
small,56600,0.9439858657,0.0005625310,1.9600000000,0.9445171859
large,56600,0.9481659094,0.0038630568,9.7221359550,0.9445171859
small,57100,0.9497933450,0.0055860912,1.9600000000,0.9445171859
large,57100,0.9488872798,0.0046268019,9.7221359550,0.9445171859
small,57600,0.9448833333,0.0003876557,1.9600000000,0.9445171859
large,57600,0.9389625402,0.0058809366,9.7221359550,0.9445171859
small,58100,0.9460963855,0.0016719650,1.9600000000,0.9445171859
large,58100,0.9464440785,0.0020400821,9.7221359550,0.9445171859
small,58600,0.9381911263,0.0066976649,1.9600000000,0.9445171859
large,58600,0.9491525563,0.0049076612,9.7221359550,0.9445171859
